[INFO] =================================================================
[INFO] J-TRUST DUAL-CHAIN SYNERGY MONITOR
[INFO] Sampling Interval: Every 10 consensus blocks
[INFO] =================================================================
Batch,   MainChain,   SideChain
1,       3,           85
2,       1,           112
3,       4,           60
4,       2,           145
5,       1,           90
6,       3,           105
7,       2,           78
8,       4,           130
9,       2,           95
10,      1,           110
11,      3,           125
12,      2,           88
13,      4,           140
14,      1,           70
15,      2,           100
16,      3,           115
17,      1,           85
18,      4,           135
19,      2,           92
20,      3,           108
